City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Victoria Point,AU,2022-03-16 21:52:16,-27.5833,153.3,75.11,84,16,3.0
232,Koundara,GN,2022-03-16 21:52:17,12.4833,-13.3,84.13,15,11,5.21
233,Mandera,KE,2022-03-16 21:52:18,3.9366,41.867,86.76,24,84,10.71
234,Kununurra,AU,2022-03-16 21:52:19,-15.7667,128.7333,78.78,94,17,2.3
235,Marck,FR,2022-03-16 21:52:19,50.949,1.9433,52.99,91,100,16.49
236,Raxaul,IN,2022-03-16 21:50:38,26.9833,84.85,71.29,34,1,4.59
237,Santa Fe,AR,2022-03-16 21:52:00,-31.6333,-60.7,74.82,60,1,5.53
238,Russell,US,2022-03-16 21:52:20,32.3502,-85.1999,68.97,73,100,0.0
239,Whitehorse,CA,2022-03-16 21:52:21,60.7161,-135.0538,38.01,62,75,15.01
240,Dunedin,NZ,2022-03-16 21:52:22,-45.8742,170.5036,51.8,91,100,1.99
241,Kaeo,NZ,2022-03-16 21:52:23,-35.1,173.7833,69.33,80,100,7.99
242,Curumani,CO,2022-03-16 21:52:23,9.1999,-73.5427,90.36,49,93,0.47
243,Butembo,CD,2022-03-16 21:52:24,0.15,29.2833,65.14,64,93,2.17
244,Rocha,UY,2022-03-16 21:51:18,-34.4833,-54.3333,73.24,77,17,10.58
245,Saquarema,BR,2022-03-16 21:50:49,-22.92,-42.5103,78.94,79,16,15.95
246,Asyut,EG,2022-03-16 21:52:26,27.181,31.1837,51.98,36,0,7.47
247,Kavieng,PG,2022-03-16 21:52:27,-2.5744,150.7967,84.54,67,72,13.31
248,High Prairie,CA,2022-03-16 21:52:28,55.4334,-116.4858,40.06,72,12,11.88
249,Misratah,LY,2022-03-16 21:52:28,32.3754,15.0925,58.91,72,62,19.57
250,Saint George,US,2022-03-16 21:49:37,37.1041,-113.5841,69.26,28,40,18.01
251,San Quintin,MX,2022-03-16 21:52:29,30.4833,-115.95,63.88,74,0,17.22
252,Ambilobe,MG,2022-03-16 21:52:30,-13.2,49.05,73.76,97,100,1.7
253,Matara,LK,2022-03-16 21:52:31,5.9485,80.5353,77.95,87,100,8.39
254,Poitiers,FR,2022-03-16 21:52:31,46.5833,0.3333,51.98,61,100,11.5
255,Avera,US,2022-03-16 21:52:32,33.194,-82.5271,67.37,73,82,3.2
256,Bandundu,CD,2022-03-16 21:52:33,-3.3167,17.3667,69.42,94,100,0.87
257,Hay River,CA,2022-03-16 21:51:31,60.8156,-115.7999,17.58,67,75,8.05
258,Norman Wells,CA,2022-03-16 21:49:57,65.282,-126.8329,-0.36,65,75,4.61
259,Eucaliptus,BO,2022-03-16 21:52:34,-17.5833,-67.5167,50.16,59,70,3.53
260,Pisco,PE,2022-03-16 21:52:35,-13.7,-76.2167,77.05,61,0,12.66
261,Xiongzhou,CN,2022-03-16 21:52:35,25.1167,114.3,68.88,91,100,3.98
262,Gushikawa,JP,2022-03-16 21:52:36,26.3544,127.8686,70.83,80,100,11.5
263,Antalaha,MG,2022-03-16 21:52:37,-14.9003,50.2788,75.52,92,72,4.85
264,Nome,US,2022-03-16 21:52:38,64.5011,-165.4064,8.67,61,0,4.61
265,Omboue,GA,2022-03-16 21:52:38,-1.5746,9.2618,77.79,91,90,6.6
266,Codrington,AU,2022-03-16 21:52:39,-38.2667,141.9667,67.32,86,27,9.31
267,Saskylakh,RU,2022-03-16 21:49:43,71.9167,114.0833,-23.51,98,76,6.38
268,Sosnovka,RU,2022-03-16 21:52:40,56.255,51.2842,-4.0,100,42,2.91
269,Inuvik,CA,2022-03-16 21:52:41,68.3499,-133.7218,-6.74,59,20,5.75
270,Bambous Virieux,MU,2022-03-16 21:52:42,-20.3428,57.7575,80.85,89,75,1.14
271,Hambantota,LK,2022-03-16 21:51:25,6.1241,81.1185,79.14,100,40,2.3
272,Arkhangelsk,RU,2022-03-16 21:52:42,64.5401,40.5433,21.31,79,0,2.24
273,Kloulklubed,PW,2022-03-16 21:53:43,7.0419,134.2556,82.89,78,32,16.42
274,Karratha,AU,2022-03-16 21:53:44,-20.7377,116.8463,90.01,35,51,10.94
275,Poiana Stampei,RO,2022-03-16 21:53:45,47.3167,25.1333,29.03,76,98,4.0
276,Morondava,MG,2022-03-16 21:53:45,-20.2833,44.2833,78.91,84,100,5.7
277,Rio Grande,BR,2022-03-16 21:52:55,-32.035,-52.0986,78.91,76,32,17.54
278,Flinders,AU,2022-03-16 21:53:46,-34.5833,150.8552,68.05,94,46,4.0
