City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,Flin Flon,CA,54.7682,-101.865,33.64,80,100,12.66,overcast clouds
194,Torbay,CA,47.6666,-52.7314,36.27,73,75,31.07,broken clouds
195,Port-Gentil,GA,-0.7193,8.7815,82.36,78,20,11.5,few clouds
196,Abeokuta,NG,7.15,3.35,85.68,66,67,9.31,light rain
197,Sola,VU,-13.8833,167.55,81.23,76,100,9.62,overcast clouds
198,Husavik,IS,66.0449,-17.3389,36.34,99,100,8.55,overcast clouds
199,Impfondo,CG,1.6381,18.0667,75.67,80,99,3.36,overcast clouds
200,Lasa,IT,46.6166,10.7002,49.08,73,1,2.01,clear sky
201,Arbazh,RU,57.6804,48.3065,31.57,90,78,8.21,broken clouds
202,Caravelas,BR,-17.7125,-39.2481,78.22,86,23,8.66,few clouds
203,Sakakah,SA,29.9697,40.2064,65.77,27,0,7.31,clear sky
204,Ulladulla,AU,-35.35,150.4667,68.9,88,91,9.69,overcast clouds
205,Vardo,NO,70.3705,31.1107,31.98,86,75,17.27,light snow
206,Itaituba,BR,-4.2761,-55.9836,91.56,62,40,4.61,scattered clouds
207,Verkhoyansk,RU,67.5447,133.385,-0.76,99,100,2.3,overcast clouds
208,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,77,20,14.74,few clouds
209,San Francisco Del Rincon,MX,21.0167,-101.85,81.32,20,26,15.35,scattered clouds
210,Adrar,MR,20.5022,-10.0711,90.91,8,0,6.24,clear sky
211,Balkanabat,TM,39.5108,54.3671,41.76,80,100,6.71,overcast clouds
212,Guerrero Negro,MX,27.9769,-114.0611,68.47,52,0,12.91,clear sky
213,Krasnoselkup,RU,65.7,82.4667,-10.66,100,41,6.22,scattered clouds
214,Inverell,AU,-29.7833,151.1167,60.15,76,12,1.01,few clouds
215,Bay Saint Louis,US,30.3088,-89.33,79.14,83,93,20.65,overcast clouds
216,Micco,US,27.8806,-80.5003,81.1,59,5,4.0,clear sky
217,Kemijarvi,FI,66.7131,27.4306,30.99,94,79,7.63,broken clouds
218,Bereda,ES,43.2686,-7.5406,56.57,92,98,0.96,overcast clouds
219,Sabang,ID,5.8933,95.3214,83.05,73,62,11.23,broken clouds
220,San Jose,US,37.3394,-121.895,76.21,43,20,13.0,few clouds
221,Acapulco,MX,16.8634,-99.8901,84.97,46,37,8.72,scattered clouds
222,Tazovskiy,RU,67.4667,78.7,3.45,89,100,11.68,overcast clouds
223,Vasai,IN,19.47,72.8,87.89,64,9,4.5,clear sky
224,Atambua,ID,-9.1061,124.8925,73.44,90,100,0.98,overcast clouds
225,Tautira,PF,-17.7333,-149.15,80.35,76,35,11.3,light rain
226,Khakhea,BW,-24.6895,23.494,78.87,35,29,4.29,scattered clouds
227,Ixtapa,MX,20.7,-105.2,89.71,12,7,6.78,clear sky
228,Paso De Los Toros,UY,-32.8167,-56.5167,68.02,87,100,14.79,moderate rain
229,Hithadhoo,MV,-0.6,73.0833,83.97,73,6,17.18,clear sky
230,Kodiak,US,57.79,-152.4072,33.31,51,100,16.11,overcast clouds
231,Ayan,RU,56.45,138.1667,11.3,74,100,12.35,overcast clouds
232,Elban,RU,50.1018,136.5094,4.6,93,40,2.66,scattered clouds
233,Puerto Colombia,CO,10.9878,-74.9547,87.89,70,94,19.69,overcast clouds
234,Haines Junction,CA,60.7522,-137.5108,13.95,73,100,11.5,overcast clouds
235,Chudniv,UA,50.052,28.1175,45.68,56,0,4.03,clear sky
236,Nishihara,JP,26.1842,127.7558,65.48,97,100,8.05,overcast clouds
237,Isangel,VU,-19.55,169.2667,77.74,88,100,4.61,light rain
238,Angoche,MZ,-16.2325,39.9086,76.86,89,45,9.64,scattered clouds
239,Arman,RU,59.7,150.1667,12.02,95,100,4.81,overcast clouds
240,Luzhou,CN,28.8724,105.4405,57.81,78,100,3.96,overcast clouds
241,Tual,ID,-5.6667,132.75,82.99,78,100,13.06,light rain
242,Moreira Sales,BR,-24.0622,-53.0069,81.64,57,20,13.06,few clouds
243,Sorland,NO,67.667,12.6934,42.66,88,75,20.58,broken clouds
244,Pandan,PH,14.0453,124.1694,79.68,87,76,8.32,broken clouds
245,Kontagora,NG,10.3999,5.4695,91.6,21,100,2.21,overcast clouds
246,Lodja,CD,-3.4833,23.4333,67.68,99,99,1.79,overcast clouds
247,Fare,PF,-16.7,-151.0167,80.74,75,57,11.5,broken clouds
248,Vincennes,FR,48.85,2.4333,62.87,39,0,11.5,clear sky
249,Khatima,IN,28.9167,79.9667,74.21,17,0,3.76,clear sky
250,Grand Gaube,MU,-20.0064,57.6608,82.38,83,74,3.0,broken clouds
251,Salalah,OM,17.0151,54.0924,74.88,56,1,1.3,clear sky
252,Tiksi,RU,71.6872,128.8694,-15.77,98,91,3.8,overcast clouds
253,Groa,NO,62.65,8.7167,30.81,92,87,5.41,overcast clouds
254,Bambanglipuro,ID,-7.95,110.2833,77.11,89,100,3.33,overcast clouds
255,Aykhal,RU,66.0,111.5,-0.67,100,100,2.33,overcast clouds
256,Bodaybo,RU,57.8506,114.1933,16.09,97,100,3.15,overcast clouds
257,Djambala,CG,-2.5447,14.7533,70.0,82,100,4.16,overcast clouds
258,Leningradskiy,RU,69.3833,178.4167,21.69,85,100,4.47,overcast clouds
